"Complete Payment","Completar Pago",""
"Exact amount only","Solo monto exacto",""
"optional","opcional",""
"Payment Method","Método de Pago",""
"Refund Amount","Monto a Reembolsar",""
"Enter amount...","Ingresar monto...",""
"Total Amount","Monto Total",""
"Remaining","Restante",""
"Change Due","Cambio a Entregar",""
"On Account","A Cuenta / Crédito",""
"Paid in Full","Pagado Totalmente",""
"Fully Paid","Pagado Totalmente",""
"Paid Amount","Monto Pagado",""
"Paid: {0}","Pagado: {0}",""
"Customer Credit Available","Crédito del Cliente Disponible",""
"Outstanding Balance","Saldo Pendiente",""
"Credit can be applied to invoice","El crédito puede aplicarse a la factura",""
"Amount owed by customer","Monto adeudado por el cliente",""
"No outstanding balance","Sin saldo pendiente",""
"Save","Guardar",""
"Cancel","Cancelar",""
"Open POS Shift","Abrir Turno de POS",""
"Select POS Profile","Seleccionar Perfil de POS",""
"Select Profile","Seleccionar Perfil",""
"No POS Profiles available. Please contact your administrator.","No hay perfiles de POS disponibles. Por favor contacte al administrador.",""
"Next","Siguiente",""
"Close Shift","Cerrar Turno",""
"Customer","Cliente",""
"Warehouse","Almacén",""
"Open Amount","Monto de Apertura",""
"Search...","Buscar...",""
"Items","Artículos",""
"Pay","Pagar",""
"Checkout","Cobrar",""
"Print Receipt","Imprimir Recibo",""
"New Order","Nueva Orden",""
"Search by name, barcode, code...","Buscar por nombre, código de barras...",""
"Add Customer","Agregar Cliente",""
"Search customer...","Buscar cliente...",""
"Discount","Descuento",""
"Tax","Impuesto",""
"Subtotal","Subtotal",""
"Total","Total",""
"Opening Balance","Saldo de Apertura",""
"Cashier","Cajero",""
"Shift","Turno",""
"Status","Estado",""
"Date","Fecha",""
"Time","Hora",""
"User","Usuario",""
"English","Inglés",""
"Spanish","Español",""
"Arabic","Árabe",""
"Indonesian","Indonesio",""
"Portuguese (Brazil)","Portugués (Brasil)",""
"View Shift","Ver Turno",""
"Draft Invoices","Cargar Pre-venta",""
"Invoice History","Historial de Facturas",""
"Return Invoice","Devolver Factura",""
"Search or add customer...","Buscar o agregar cliente...",""
"Your cart is empty","Tu carrito está vacío",""
"Select items to start or choose a quick action","Selecciona artículos para empezar o elige una acción rápida",""
"Search by item code, name, item group or scan barcode","Buscar por código, nombre, grupo o escanear código...",""
"unit","unidad",""
"units","unidades",""
"\"{0}\" is out of stock in warehouse \"{1}\".","\"{0}\" no tiene stock en el almacén \"{1}\".",""
"Not enough stock for \"{0}\".\n\nYou requested {1} {2}, but only {3} {4} available in \"{5}\".","No hay suficiente stock para \"{0}\".\n\nSolicitó {1} {2}, pero solo hay {3} {4} disponibles en \"{5}\".",""
"Not enough stock for \"{0}\".\n\nYou need {1} {2} but the warehouse \"{3}\" doesn't have enough available.\n\nPlease reduce the quantity or check another warehouse.","No hay suficiente stock para \"{0}\".\n\nNecesita {1} {2} pero el almacén \"{3}\" no tiene suficiente disponible.\n\nPor favor reduzca la cantidad o consulte otro almacén.",""
"Not enough stock available in the warehouse.\n\nPlease reduce the quantity or check stock availability.","No hay suficiente stock disponible en el almacén.\n\nPor favor reduzca la cantidad o verifique la disponibilidad de stock.",""
"Cart Items","Artículos del Carrito",""
"Offers","Ofertas",""
"Coupon","Cupón",""
"{0} - {1} of {2}","{0} - {1} de {2}",""
"Click to check availability in other warehouses","Haga clic para ver disponibilidad en otros almacenes",""
"Click to view all warehouses","Haga clic para ver todos los almacenes",""
"Stock Lookup","Buscador de Stock",""
"Total Available:","Total Disponible:",""
"in {0} warehouse","en {0} almacén",""
"in {0} warehouses","en {0} almacenes",""
"{0} Piece","{0} Pieza",""
"{0} Pieces","{0} Piezas",""
"Available","Disponible",""
"Vender de aquí","Vender de aquí",""
"Cerrar","Cerrar",""
"All Brands","Todas las Marcas",""
"All Items","Todos los Productos",""
"Search items","Buscar artículos",""
"Barcode Scanner: ON (Click to disable)","Lector de código de barras: ENCENDIDO (Clic para desactivar)",""
"Barcode Scanner: OFF (Click to enable)","Lector de código de barras: APAGADO (Clic para activar)",""
"Disable barcode scanner","Desactivar lector de código de barras",""
"Enable barcode scanner","Activar lector de código de barras",""
"Auto-Add: ON - Press Enter to add items to cart","Agregar automático: SÍ - Presione Enter para agregar al carrito",""
"Auto-Add: OFF - Press Enter to focus next action","Agregar automático: NO - Presione Enter para enfocar siguiente acción",""
"Auto-Add: ON","Agregar automático: SÍ",""
"Auto-Add: OFF","Agregar automático: NO",""
"Grid View","Vista Cuadrícula",""
"List View","Vista Lista",""
"Filters","Filtros",""
"Active Filters:","Filtros Activos:",""
"Sort By:","Ordenar Por:",""
"Clear All","Limpiar Todo",""
"No items found","No se encontraron artículos",""
"Try adjusting your search or filters","Intente ajustar su búsqueda o filtros",""
"Items per page","Artículos por página",""
"Previous Page","Página Anterior",""
"Next Page","Página Siguiente",""
"Invoice Created Successfully","Factura Creada Exitosamente",""
"Invoice {0} created successfully!","¡Factura {0} creada exitosamente!",""
"Invoice {0} created successfully","Factura {0} creada exitosamente",""
"Customer {0} created successfully","Cliente {0} creado exitosamente",""
"Promotion created successfully","Promoción creada exitosamente",""
"Return invoice {0} created successfully","Factura de devolución {0} creada exitosamente",""
"Coupon created successfully","Cupón creado exitosamente",""
"Print Invoice","Imprimir Factura",""
"Addition Order","Orden de Agregado",""
"Name","Nombre",""
"Price","Precio",""
"Quantity","Cantidad",""
"Total","Total",""
"Sort","Ordenar",""
"Sort Cart","Ordenar Carrito",""
"No Sorting","Sin Ordenar",""
"Sort cart items","Ordenar artículos del carrito",""
"Sorted by {0} A-Z","Ordenado por {0} A-Z",""
"Sorted by {0} Z-A","Ordenado por {0} Z-A",""
"Reports & Configuration","Informes y Configuración",""
"Offers & Coupons","Ofertas y Cupones",""
"Start POS","Iniciar POS",""
"Sales vs Shifts Report","Reporte de Ventas vs Turnos",""
"Cashier Performance Report","Reporte de Rendimiento de Cajero",""
"Payments and Cash Control Report","Reporte de Pagos y Control de Caja",""
"Inventory Impact and Fast Movers Report","Reporte de Impacto de Inventario y Rotación",""
"Offline Sync and System Health Report","Reporte de Sincronización y Salud del Sistema",""
"POS Settings","Configuración de POS",""
"POS Profile","Perfil de POS",""
"POS Offer","Oferta de POS",""
"POS Coupon","Cupón de POS",""
"POS Opening Shift","Apertura de Caja",""
"POS Closing Shift","Cierre de Caja",""
"Pos Settings","Configuración de POS",""
"Pos Profile","Perfil de POS",""
"Pos Offer","Oferta de POS",""
"Pos Coupon","Cupón de POS",""
"Pos Opening Shift","Apertura de Caja",""
"Pos Closing Shift","Cierre de Caja",""
"Reports &amp; Configuration","Informes y Configuración",""
